年月日,列車番号,停車駅名,フェンダー部分(東京方向),台車部分,フェンダー部分(金沢方向),合計
2016-01-19,3500E,富山,0.0,0.0,0.0,0.0
2016-01-19,562E,富山,0.0,0.0,0.0,0.0
2016-01-19,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,560E,富山,0.0,0.0,0.002985924,0.002985924
2016-01-19,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,558E,富山,0.0,0.0,0.0023283910000000013,0.0023283910000000013
2016-01-19,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,556E,富山,0.0,0.0,0.0,0.0
2016-01-19,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,554E,富山,0.0,0.0,0.0,0.0
2016-01-19,552E,富山,0.0,0.0,0.0,0.0
2016-01-19,3518E,富山,0.0,0.0,0.0013678879999999994,0.0013678879999999994
2016-01-19,3516E,富山,0.0,0.0,0.002954610999999999,0.002954610999999999
2016-01-19,3514E,富山,0.0,0.0,0.0006307760000000001,0.0006307760000000001
2016-01-19,3512E,富山,0.0,0.0,0.0014504989999999998,0.0014504989999999998
2016-01-19,3510E,富山,0.0,0.0,0.0018707620000000004,0.0018707620000000004
2016-01-19,3508E,富山,0.0,0.0,0.0022531700000000005,0.0022531700000000005
2016-01-19,3506E,富山,0.0,0.0,0.0,0.0
2016-01-19,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,3504E,富山,0.0,0.0,0.0,0.0
2016-01-19,564E,富山,0.0,0.0,0.000949196,0.000949196
2016-01-19,566E,富山,0.0,0.0,0.0003286790000000001,0.0003286790000000001
2016-01-19,8532E,富山,0.0,0.0,0.0,0.0
2016-01-19,8530E,富山,0.0,0.0,0.0,0.0
2016-01-19,8528E,富山,0.0,0.0,0.0022075840000000007,0.0022075840000000007
2016-01-19,590E,糸魚川,0.0,0.0,0.0014438930000000006,0.0014438930000000006
2016-01-19,590E,富山,0.0,0.0,0.00134647,0.00134647
2016-01-19,578E,糸魚川,0.0,0.0,0.0012106419999999994,0.0012106419999999994
2016-01-19,578E,富山,0.0,0.0,0.0006220830000000003,0.0006220830000000003
2016-01-19,576E,糸魚川,0.0,0.0,0.001958221,0.001958221
2016-01-19,564E,糸魚川,0.0,0.0,0.001394338,0.001394338
2016-01-19,576E,富山,0.0,0.0,0.0014518960000000005,0.0014518960000000005
2016-01-19,574E,富山,0.0,0.0,0.0013544260000000006,0.0013544260000000006
2016-01-19,572E,糸魚川,0.0,0.0,0.0014051229999999999,0.0014051229999999999
2016-01-19,572E,富山,0.0,0.0,0.000473972,0.000473972
2016-01-19,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,570E,富山,0.0,0.0,0.0,0.0
2016-01-19,568E,糸魚川,0.0,0.0,0.0012866559999999995,0.0012866559999999995
