トンネル名,始点キロ程,終点キロ程,始点緯度,始点経度,終点緯度,終点経度
T001,7.8,8.049,36.62710886,136.7089237,36.62853038,136.7111173
T002,8.19,8.47,36.62930404,136.7124172,36.63082819,136.7148628
T003,8.615,9.335,36.63159057,136.7161628,36.63559378,136.7225358
T004,9.565,12.445,36.63694627,136.7244778,36.65570201,136.7466513
T005,13.82,14.198,36.66614787,136.754941,36.66898515,136.7572726
T006,14.755,15.205,36.67557373,136.764994,36.67557614,136.7650028
T007,15.935,16.195,36.67925795,136.7717564,36.68033351,136.7743339
T008,16.683,23.315,36.68196099,136.779407,36.67303341,136.8514527
T009,55.73,56.245,36.71475035,137.1885321,36.71221156,137.1923068
T010,79.76,80.359,36.7788014,137.4086411,36.78197132,137.4140766
T011,81.436,84.533,36.78905499,137.4222582,36.81421898,137.437205
T012,85.945,87,36.82581872,137.4436404,36.83451662,137.4484891
T013,87.865,88.71,36.84161558,137.4524471,36.84836808,137.4568036
T014,88.89,90.15,36.84972446,137.4579335,36.85900663,137.4660687
T015,90.34,90.424,36.86039606,137.4672944,36.86101923,137.4678406
T016,90.665,91.584,36.86279215,137.4693911,36.86922866,137.4759159
T017,102.959,110.518,36.93504526,137.5716661,36.97098756,137.6436293
T018,110.826,118.149,36.97232199,137.646514,36.99629412,137.7232483
T019,118.405,120.148,36.99710625,137.7259434,37.00316374,137.7440561
T020,120.248,124.548,37.00353349,137.7450284,37.01727469,137.7899677
T021,125.221,125.296,37.01871136,137.7973229,37.01889031,137.798142
T022,125.587,126.15,37.01965759,137.8012581,37.02174814,137.807262
T023,135.523,136.18,37.05244195,137.9043454,37.0538334,137.9115094
T024,136.9,138.34,37.05639907,137.9189074,37.06418323,137.9318433
T025,138.43,142.381,37.06471157,137.9326077,37.08116087,137.9710738
T026,142.521,145.135,37.08143567,137.9726093,37.08541433,138.0015585
T027,147.215,154.25,37.08774179,138.0247846,37.09883142,138.1026158
T028,154.36,156.166,37.09899766,138.1038412,37.10167304,138.1238665
T029,156.38,163.155,37.10208497,138.1262133,37.1103079,138.2010967
T030,163.235,165.987,37.11013558,138.2019476,37.09776751,138.2283932
