風速計,キロ程,緯度,経度
乙丸,1.138,36.58472597,136.6573674
森本,5.478,36.61264218,136.6902251
東荒屋,12.526,36.65625723,136.7471825
倉見,15.501,36.67715858,136.7675463
小矢部川,25.037,36.66893971,136.8700582
唐俣川,30.137,36.68817741,136.9195144
高岡荒又川,34.245,36.71040271,136.9562496
庄川,41.597,36.72429801,137.0336263
下条川,48.337,36.72768514,137.10689
神通川,57.502,36.70544985,137.2032817
常願寺川,64.936,36.71466649,137.2717287
滑川,73.409,36.74426686,137.352034
片貝川,85.68,36.8236139,137.442396
黒部川,94.818,36.89158433,137.4990318
朝日,100.092,36.92132026,137.5441961
境川,110.696,36.97178162,137.6452717
青海,124.757,37.017725,137.7921804
姫川,129.239,37.03501895,137.8374142
能生,146.236,37.08665194,138.0137671
高田,167.477,37.08873762,138.2406875
