feature,importance
日,214
金沢着雪ゼロ列車フラグ,170
月,156
曜日,142
金沢_風速_m_s__0_00,34
列車番号,31
金沢_列車通過時_気温_ge_5.0_C,31
富山野々上_積雪深_軌道__max_18-24,31
富山_風速_m_s__0_00,28
富山_雲量_10分比__3_00,25
金沢_風速_m_s__14_00,23
富山_風速_m_s__2_00,23
糸魚川_列車通過時_気温_ge_5.0_C,22
富山_風速_m_s__1_00,21
富山_風速_m_s__7_00,20
富山_風速_m_s__5_00,19
富山_列車通過時_気温_ge_5.0_C,19
富山_風速_m_s__17_00,17
金沢_風速_m_s__13_00,14
富山_現地気圧_hPa__1_00,14
富山野々上_積雪深_軌道__mean_6-12,14
富山_蒸気圧_hPa__22_00,13
富山_風速_m_s__13_00,13
糸魚川_風速_m_s__12_00,12
富山_日射量_MJ_m2__13_00,12
富山_日照時間_時間__11_00,12
富山_蒸気圧_hPa__14_00,11
糸魚川_風速_m_s__10_00,11
富山野々上_積雪深_軌道__mean_0-6,11
富山_風速_m_s__12_00,11
富山_日照時間_時間__9_00,11
金沢_風速_m_s__16_00,11
金沢_風速_m_s__12_00,11
金沢_風速_m_s__17_00,11
糸魚川_風速_m_s__0_00,11
富山_風速_m_s__20_00,11
糸魚川_風向_16_00,10
金沢_風速_m_s__21_00,10
金沢_露点温度_℃__0_00,10
糸魚川_風速_m_s__3_00,10
富山_風速_m_s__23_00,10
富山_風速_m_s__4_00,10
金沢_蒸気圧_hPa__17_00,10
富山_日照時間_時間__12_00,10
富山_日照時間_時間__8_00,10
富山_日射量_MJ_m2__9_00,9
糸魚川_風速_m_s__14_00,9
糸魚川_風速_m_s__11_00,9
糸魚川_風速_m_s__8_00,9
富山_雲量_10分比__21_00,9
糸魚川_風速_m_s__2_00,9
富山野々上_積雪深_側溝__mean_18-24,9
金沢_風速_m_s__2_00,9
糸魚川_風速_m_s__4_00,9
富山_風速_m_s__16_00,9
富山_風速_m_s__9_00,9
富山_風速_m_s__6_00,9
金沢_蒸気圧_hPa__2_00,9
金沢_風向_1_00,9
金沢_風速_m_s__19_00,8
富山_日照時間_時間__14_00,8
金沢_風速_m_s__11_00,8
金沢_風速_m_s__15_00,8
金沢_風向_7_00,8
糸魚川_風速_m_s__7_00,8
糸魚川_風速_m_s__22_00,8
富山_蒸気圧_hPa__1_00,8
富山野々上_積雪深_軌道A__mean_0-6,8
富山_日射量_MJ_m2__17_00,8
富山_風速_m_s__8_00,8
富山_日照時間_時間__13_00,7
富山_日照時間_時間__10_00,7
富山_風速_m_s__11_00,7
富山_風速_m_s__22_00,7
金沢_蒸気圧_hPa__1_00,7
金沢_風速_m_s__20_00,7
富山_風速_m_s__19_00,7
金沢_風速_m_s__1_00,7
富山_風向_17_00,7
富山_風速_m_s__14_00,7
金沢_蒸気圧_hPa__11_00,7
富山_風速_m_s__10_00,6
金沢_風速_m_s__3_00,6
富山_風速_m_s__18_00,6
富山_日射量_MJ_m2__14_00,6
金沢_風速_m_s__8_00,6
富山_日照時間_時間__1_00,6
富山_日照時間_時間__7_00,6
金沢_風速_m_s__7_00,6
金沢_風速_m_s__6_00,6
金沢_風速_m_s__18_00,6
富山_蒸気圧_hPa__4_00,6
糸魚川_風速_m_s__13_00,6
糸魚川_風速_m_s__9_00,6
金沢_露点温度_℃__17_00,6
糸魚川_風速_m_s__17_00,5
富山_日照時間_時間__15_00,5
富山_蒸気圧_hPa__0_00,5
糸魚川_風速_m_s__1_00,5
糸魚川_風速_m_s__16_00,5
富山_現地気圧_hPa__2_00,5
富山_日射量_MJ_m2__7_00,5
富山_風速_m_s__21_00,5
糸魚川_風速_m_s__6_00,5
糸魚川_風速_m_s__18_00,5
富山_日照時間_時間__16_00,5
金沢_風速_m_s__22_00,5
富山_現地気圧_hPa__11_00,5
富山野々上_積雪深_軌道B__mean_0-6,5
富山_日照時間_時間__0_00,5
金沢_風向_8_00,4
富山_風速_m_s__3_00,4
富山_現地気圧_hPa__20_00,4
富山_現地気圧_hPa__19_00,4
糸魚川_風速_m_s__23_00,4
金沢_蒸気圧_hPa__23_00,4
金沢_蒸気圧_hPa__0_00,4
糸魚川_風速_m_s__19_00,4
金沢_雲量_10分比__12_00,4
富山_蒸気圧_hPa__18_00,4
富山野々上_積雪深_軌道__max_6-12,4
富山_蒸気圧_hPa__16_00,4
富山_蒸気圧_hPa__2_00,4
富山_風速_m_s__15_00,4
富山_日照時間_時間__17_00,3
富山_蒸気圧_hPa__12_00,3
富山_蒸気圧_hPa__11_00,3
富山野々上_積雪深_軌道B__max_6-12,3
富山_現地気圧_hPa__5_00,3
糸魚川_風速_m_s__21_00,3
富山野々上_積雪深_軌道__mean_12-18,3
金沢_露点温度_℃__21_00,3
金沢_露点温度_℃__10_00,3
糸魚川_風速_m_s__15_00,3
富山_蒸気圧_hPa__19_00,3
富山_現地気圧_hPa__4_00,3
富山_日射量_MJ_m2__11_00,3
金沢_蒸気圧_hPa__18_00,3
金沢_風速_m_s__5_00,3
金沢_風速_m_s__9_00,3
金沢_風速_m_s__10_00,3
富山_日照時間_時間__18_00,3
金沢_風向_3_00,3
富山_日射量_MJ_m2__16_00,3
金沢_蒸気圧_hPa__12_00,3
富山_日射量_MJ_m2__15_00,3
金沢_日照時間_時間__16_00,3
富山_日射量_MJ_m2__12_00,3
富山_日射量_MJ_m2__18_00,3
富山_現地気圧_hPa__0_00,3
金沢_雲量_10分比__15_00,2
金沢_雲量_10分比__18_00,2
富山_現地気圧_hPa__12_00,2
金沢_露点温度_℃__11_00,2
金沢_露点温度_℃__8_00,2
糸魚川_風速_m_s__5_00,2
金沢_露点温度_℃__1_00,2
富山_海面気圧_hPa__22_00,2
金沢_露点温度_℃__22_00,2
金沢_風向_4_00,2
富山_蒸気圧_hPa__7_00,2
富山野々上_積雪深_軌道__mean_18-24,2
富山野々上_積雪深_軌道__max_0-6,2
富山_蒸気圧_hPa__13_00,2
糸魚川_日照時間_時間__8_00,2
富山_現地気圧_hPa__23_00,2
金沢_日照時間_時間__15_00,2
富山_現地気圧_hPa__13_00,2
富山_風向_15_00,2
富山_現地気圧_hPa__16_00,2
富山_現地気圧_hPa__18_00,2
糸魚川_風速_m_s__20_00,2
富山_現地気圧_hPa__3_00,2
富山_現地気圧_hPa__8_00,2
富山_日射量_MJ_m2__8_00,2
金沢_蒸気圧_hPa__21_00,2
金沢_風向_0_00,2
富山_蒸気圧_hPa__9_00,2
富山野々上_積雪深_軌道B__mean_18-24,2
富山野々上_積雪深_軌道A__max_0-6,2
富山野々上_積雪深_軌道A__mean_18-24,2
金沢_蒸気圧_hPa__16_00,2
金沢_蒸気圧_hPa__22_00,2
金沢_蒸気圧_hPa__15_00,2
金沢_雲量_10分比__6_00,2
金沢_蒸気圧_hPa__10_00,2
金沢_蒸気圧_hPa__6_00,2
金沢_蒸気圧_hPa__9_00,2
金沢_現地気圧_hPa__10_00,2
金沢_風向_19_00,2
金沢_風速_m_s__23_00,2
富山_日射量_MJ_m2__10_00,2
金沢_現地気圧_hPa__2_00,1
金沢_現地気圧_hPa__7_00,1
金沢_現地気圧_hPa__11_00,1
金沢_現地気圧_hPa__17_00,1
富山_気温_℃__3_00_ge_5.0_C,1
糸魚川_気温_℃__10_00_ge_5.0_C,1
糸魚川_気温_℃__5_00_ge_5.0_C,1
糸魚川_気温_℃__7_00_ge_5.0_C,1
富山_気温_℃__4_00_ge_5.0_C,1
富山_気温_℃__23_00_ge_5.0_C,1
富山野々上_積雪深_軌道A__max_6-12,1
富山野々上_積雪深_軌道B__max_18-24,1
富山野々上_積雪深_軌道B__min_6-12,1
富山野々上_積雪深_軌道B__mean_12-18,1
富山_蒸気圧_hPa__8_00,1
金沢_風向_9_00,1
金沢_蒸気圧_hPa__14_00,1
金沢_蒸気圧_hPa__19_00,1
金沢_蒸気圧_hPa__20_00,1
金沢_雲量_10分比__3_00,1
金沢_蒸気圧_hPa__3_00,1
金沢_現地気圧_hPa__23_00,1
金沢_蒸気圧_hPa__7_00,1
金沢_蒸気圧_hPa__4_00,1
金沢_気温_℃__22_00_ge_5.0_C,1
金沢_気温_℃__13_00_ge_5.0_C,1
金沢_気温_℃__21_00_ge_5.0_C,1
金沢_現地気圧_hPa__1_00,1
富山_日照時間_時間__2_00,1
金沢_風向_23_00,1
金沢_風向_10_00,1
糸魚川_風向_9_00,1
富山_風向_18_00,1
富山_風向_11_00,1
富山_風向_7_00,1
富山_風向_6_00,1
金沢_蒸気圧_hPa__13_00,1
富山_現地気圧_hPa__6_00,1
糸魚川_風向_11_00,1
糸魚川_風向_10_00,1
富山_現地気圧_hPa__7_00,1
富山_現地気圧_hPa__10_00,1
糸魚川_風向_17_00,1
糸魚川_風向_12_00,1
金沢_日照時間_時間__10_00,1
金沢_日照時間_時間__12_00,1
金沢_日照時間_時間__14_00,1
金沢_日照時間_時間__7_00,1
富山_現地気圧_hPa__15_00,1
富山_現地気圧_hPa__17_00,1
富山_現地気圧_hPa__21_00,1
富山_現地気圧_hPa__22_00,1
金沢_露点温度_℃__12_00,1
金沢_露点温度_℃__13_00,1
金沢_露点温度_℃__9_00,1
金沢_雲量_10分比__21_00,1
糸魚川_日照時間_時間__18_00,1
富山_海面気圧_hPa__7_00,1
金沢_露点温度_℃__18_00,1
金沢_露点温度_℃__20_00,1
富山_露点温度_℃__12_00,1
富山_露点温度_℃__17_00,1
富山_露点温度_℃__16_00,1
富山_露点温度_℃__19_00,1
富山野々上_積雪深_側溝__mean_0-6,1
富山野々上_積雪深_軌道__min_6-12,1
富山野々上_積雪深_側溝__mean_12-18,1
富山野々上_積雪深_側溝__mean_6-12,1
富山野々上_積雪深_側溝__max_18-24,1
富山_露点温度_℃__10_00,1
富山_露点温度_℃__1_00,1
富山_雲量_10分比__15_00,1
富山_露点温度_℃__14_00,1
富山_蒸気圧_hPa__3_00,1
富山_蒸気圧_hPa__21_00,1
富山_蒸気圧_hPa__23_00,1
金沢_露点温度_℃__23_00,1
富山_蒸気圧_hPa__20_00,1
富山_蒸気圧_hPa__17_00,1
富山_蒸気圧_hPa__15_00,1
長野_列車通過時_気温_ge_5.0_C,0
富山_気温_1_00,0
富山_気温_2_00,0
富山_気温_3_00,0
富山_気温_4_00,0
富山_気温_5_00,0
糸魚川_気温_℃__0_00_ge_5.0_C,0
糸魚川_気温_℃__23_00_ge_5.0_C,0
糸魚川_気温_℃__22_00_ge_5.0_C,0
糸魚川_気温_℃__21_00_ge_5.0_C,0
糸魚川_気温_℃__20_00_ge_5.0_C,0
糸魚川_気温_℃__19_00_ge_5.0_C,0
糸魚川_気温_℃__18_00_ge_5.0_C,0
糸魚川_気温_℃__17_00_ge_5.0_C,0
糸魚川_気温_℃__16_00_ge_5.0_C,0
糸魚川_気温_℃__15_00_ge_5.0_C,0
糸魚川_気温_℃__14_00_ge_5.0_C,0
糸魚川_気温_℃__13_00_ge_5.0_C,0
糸魚川_気温_℃__12_00_ge_5.0_C,0
糸魚川_気温_℃__11_00_ge_5.0_C,0
糸魚川_気温_℃__9_00_ge_5.0_C,0
糸魚川_気温_℃__8_00_ge_5.0_C,0
富山_相対湿度_%__0_00,0
富山_相対湿度_%__23_00,0
富山_相対湿度_%__22_00,0
富山_相対湿度_%__21_00,0
富山_相対湿度_%__20_00,0
富山_相対湿度_%__19_00,0
富山_相対湿度_%__18_00,0
富山_相対湿度_%__17_00,0
富山_相対湿度_%__16_00,0
富山_相対湿度_%__15_00,0
富山_相対湿度_%__14_00,0
富山_相対湿度_%__13_00,0
富山_相対湿度_%__12_00,0
富山_蒸気圧_hPa__10_00,0
富山_蒸気圧_hPa__6_00,0
富山_蒸気圧_hPa__5_00,0
富山_雲量_10分比__18_00,0
富山_雲量_10分比__17_00,0
富山_雲量_10分比__16_00,0
富山_雲量_10分比__14_00,0
富山_雲量_10分比__13_00,0
富山_雲量_10分比__12_00,0
富山_雲量_10分比__11_00,0
富山_雲量_10分比__10_00,0
富山_雲量_10分比__9_00,0
富山_雲量_10分比__8_00,0
富山_雲量_10分比__7_00,0
富山_雲量_10分比__6_00,0
富山_雲量_10分比__5_00,0
富山_雲量_10分比__4_00,0
富山_雲量_10分比__2_00,0
富山_雲量_10分比__1_00,0
富山_露点温度_℃__15_00,0
富山_露点温度_℃__13_00,0
富山_露点温度_℃__11_00,0
富山_露点温度_℃__9_00,0
富山_露点温度_℃__8_00,0
富山_露点温度_℃__7_00,0
富山_露点温度_℃__6_00,0
富山_露点温度_℃__5_00,0
富山_露点温度_℃__4_00,0
富山_露点温度_℃__3_00,0
富山_露点温度_℃__2_00,0
富山_雲量_10分比__0_00,0
富山_雲量_10分比__23_00,0
富山_雲量_10分比__22_00,0
富山_雲量_10分比__20_00,0
富山_雲量_10分比__19_00,0
糸魚川_気温_10_00,0
糸魚川_気温_9_00,0
糸魚川_気温_8_00,0
糸魚川_気温_7_00,0
糸魚川_気温_6_00,0
糸魚川_気温_5_00,0
